Date,Total Sales
2023-01-28,610699.35
2023-01-29,832579.4099999999
2023-01-30,520048.17
2023-01-31,995191.36
2023-02-01,427049.26
2023-02-02,1279335.18
2023-02-03,1183083.31
2023-02-04,684776.57
2023-02-05,573965.25
2023-02-06,838714.11
2023-02-07,650541.64
2023-02-08,815122.9400000001
2023-02-09,598445.51
2023-02-10,956473.59
2023-02-11,728333.79
2023-02-12,472434.1
2023-02-13,686334.51
2023-02-14,843291.58
2023-02-15,412867.32
2023-02-16,728503.0700000001
2023-02-17,595762.54
2023-02-18,678861.4500000001
2023-02-19,633943.25
2023-02-20,653601.61
2023-02-21,531971.77
2023-02-22,430347.56000000006
2023-02-23,752991.05
2023-02-24,504939.88999999996
2023-02-25,457229.56000000006
2023-02-26,606050.6799999999
2023-02-27,737272.52
2023-02-28,395212.10000000003
2023-03-01,972798.3400000001
2023-03-02,473813.27
2023-03-03,283936.43
2023-03-04,736731.1799999999
2023-03-05,483941.86
2023-03-06,957592.44
2023-03-07,921357.21
2023-03-08,365618.52999999997
2023-03-09,861741.95
2023-03-10,553662.11
2023-03-11,732796.47
2023-03-12,515188.35000000003
2023-03-13,663141.33
2023-03-14,508204.76999999996
2023-03-15,1427766.57
2023-03-16,619314.84
2023-03-17,561391.76
2023-03-18,494332.0
2023-03-19,570703.2000000001
2023-03-20,1481915.91
2023-03-21,387599.22000000003
2023-03-22,842215.76
2023-03-23,551634.95
2023-03-24,630580.88
2023-03-25,536390.1699999999
2023-03-26,163201.39
2023-03-27,975223.41
2023-03-28,440780.28
2023-03-29,230855.05
2023-03-30,569963.62
2023-03-31,935603.52
2023-04-01,1189307.01
2023-04-02,679767.6799999999
2023-04-03,915365.1
2023-04-04,336731.58999999997
2023-04-05,334381.62
2023-04-06,632180.86
2023-04-07,777896.33
2023-04-08,867209.88
2023-04-09,774590.88
2023-04-10,1023285.49
2023-04-11,749902.25
2023-04-12,265944.95
2023-04-13,1312717.1800000002
2023-04-14,447600.97000000003
2023-04-15,414095.32
2023-04-16,559332.13
2023-04-17,686116.22
2023-04-18,1047638.52
2023-04-19,1273480.52
2023-04-20,1070734.37
2023-04-21,1110178.2
2023-04-22,297473.36
2023-04-23,495947.26
2023-04-24,694011.3500000001
2023-04-25,328617.51
2023-04-26,612798.99
2023-04-27,782899.57
2023-04-28,503570.91000000003
2023-04-29,840462.0599999999
2023-04-30,403110.18
2023-05-01,551657.02
2023-05-02,414776.31000000006
2023-05-03,735706.79
2023-05-04,873005.1000000001
2023-05-05,963216.8
2023-05-06,1077232.41
2023-05-07,717087.99
2023-05-08,525269.32
2023-05-09,445520.98
2023-05-10,1538023.8399999999
2023-05-11,1009200.8700000001
2023-05-12,592179.79
2023-05-13,498516.77999999997
2023-05-14,664559.8200000001
2023-05-15,706138.87
2023-05-16,1027374.41
2023-05-17,539626.04
2023-05-18,595479.35
2023-05-19,589165.14
2023-05-20,1274015.1
2023-05-21,196117.49
2023-05-22,1072502.37
2023-05-23,1012405.52
2023-05-24,637720.44
2023-05-25,544092.86
2023-05-26,530292.5700000001
2023-05-27,1175713.7999999998
2023-05-28,829126.9099999999
2023-05-29,668740.0
2023-05-30,1215196.8
2023-05-31,953601.35
2023-06-01,815666.57
2023-06-02,688563.4500000001
2023-06-03,937736.19
2023-06-04,861393.48
2023-06-05,496357.24
2023-06-06,521343.51
2023-06-07,564061.37
2023-06-08,774110.15
2023-06-09,406784.64
2023-06-10,1038925.01
2023-06-11,335229.67
2023-06-12,286240.08999999997
2023-06-13,986073.69
2023-06-14,744613.6200000001
2023-06-15,730842.73
2023-06-16,302017.83
2023-06-17,975251.2000000001
2023-06-18,962430.3800000001
2023-06-19,791922.01
2023-06-20,420662.94
2023-06-21,1025223.5900000001
2023-06-22,618315.63
2023-06-23,585979.1699999999
2023-06-24,690292.8
2023-06-25,422763.6
2023-06-26,286931.36
2023-06-27,324426.93000000005
2023-06-28,563700.06
2023-06-29,346751.86
2023-06-30,287341.06
2023-07-01,348477.38
2023-07-02,958915.96
2023-07-03,475493.26999999996
2023-07-04,779343.12
2023-07-05,452716.85
2023-07-06,1150463.05
2023-07-07,448479.28
2023-07-08,991383.62
2023-07-09,859117.1699999999
2023-07-10,1140210.38
2023-07-11,1422387.07
2023-07-12,1252757.6600000001
2023-07-13,1037511.14
2023-07-14,818664.18
2023-07-15,651689.22
2023-07-16,502865.23
2023-07-17,814962.51
2023-07-18,539249.66
2023-07-19,991902.18
2023-07-20,751339.23
2023-07-21,1272728.46
2023-07-22,1137693.5
2023-07-23,681682.77
2023-07-24,595719.01
2023-07-25,668875.62
2023-07-26,593183.3300000001
2023-07-27,396980.33
2023-07-28,145316.49
2023-07-29,687915.73
2023-07-30,912417.59
2023-07-31,1005909.46
2023-08-01,594828.6000000001
2023-08-02,654206.09
2023-08-03,420452.8
2023-08-04,275896.58
2023-08-05,668432.77
2023-08-06,1041718.5800000001
2023-08-07,696942.7
2023-08-08,277593.58999999997
2023-08-09,582122.7
2023-08-10,373863.55000000005
2023-08-11,754738.59
2023-08-12,1101996.39
2023-08-13,570513.05
2023-08-14,709002.37
2023-08-15,220975.28
2023-08-16,423740.85000000003
2023-08-17,419666.77
2023-08-18,724289.96
2023-08-19,644148.07
2023-08-20,1080408.54
2023-08-21,282495.77
2023-08-22,631321.79
2023-08-23,817172.51
2023-08-24,292587.66000000003
2023-08-25,794037.23
2023-08-26,617375.4299999999
2023-08-27,239362.07
2023-08-28,433494.76
2023-08-29,1047261.3999999999
2023-08-30,882660.2000000001
2023-08-31,621057.46
2023-09-01,372572.74
2023-09-02,788094.01
2023-09-03,878429.89
2023-09-04,665161.5700000001
2023-09-05,261380.6
2023-09-06,468760.47
2023-09-07,876712.6799999999
2023-09-08,405408.29000000004
2023-09-09,735343.47
2023-09-10,869130.7200000001
2023-09-11,931504.06
2023-09-12,605332.9299999999
2023-09-13,494572.65
2023-09-14,687677.58
2023-09-15,642811.36
2023-09-16,490786.67
2023-09-17,574478.0
2023-09-18,955687.0499999999
2023-09-19,336927.24
2023-09-20,908335.67
2023-09-21,261468.61
2023-09-22,855992.85
2023-09-23,1110359.35
2023-09-24,621440.4
2023-09-25,383436.47000000003
2023-09-26,960518.0800000001
2023-09-27,1080243.74
2023-09-28,384513.4
2023-09-29,467630.77
2023-09-30,501776.08999999997
2023-10-01,261857.81000000003
2023-10-02,333586.44
2023-10-03,289289.48
2023-10-04,489447.34
2023-10-05,910280.63
2023-10-06,829850.81
2023-10-07,488496.9
2023-10-08,840744.01
2023-10-09,988560.97
2023-10-10,677381.3200000001
2023-10-11,690793.2
2023-10-12,457749.20999999996
2023-10-13,862134.83
2023-10-14,572562.72
2023-10-15,871301.87
2023-10-16,482889.2
2023-10-17,1199664.6099999999
2023-10-18,742996.1300000001
2023-10-19,949547.46
2023-10-20,880459.76
2023-10-21,582564.61
2023-10-22,877341.53
2023-10-23,529694.23
2023-10-24,1085728.1300000001
2023-10-25,910817.26
2023-10-26,731988.0999999999
2023-10-27,604673.3
2023-10-28,690318.29
2023-10-29,824588.9
2023-10-30,391755.59
2023-10-31,1015576.7
2023-11-01,910136.62
2023-11-02,446691.93
2023-11-03,603483.74
2023-11-04,1129808.5899999999
2023-11-05,396232.38
2023-11-06,423844.7
2023-11-07,685258.4099999999
2023-11-08,1157489.6
2023-11-09,855485.81
2023-11-10,296537.64999999997
2023-11-11,508754.32
2023-11-12,701924.7000000001
2023-11-13,236207.33000000002
2023-11-14,731982.3799999999
2023-11-15,720880.86
2023-11-16,1259705.25
2023-11-17,765828.16
2023-11-18,302934.95999999996
2023-11-19,865123.56
2023-11-20,1365553.03
2023-11-21,637427.76
2023-11-22,460094.15
2023-11-23,647667.37
2023-11-24,463175.8
2023-11-25,825030.39
2023-11-26,545231.51
2023-11-27,470687.54000000004
2023-11-28,556708.8300000001
2023-11-29,199738.13
2023-11-30,722583.77
2023-12-01,597312.21
2023-12-02,478924.97
2023-12-03,446475.11
2023-12-04,862980.91
2023-12-05,915450.95
2023-12-06,679247.87
2023-12-07,474000.63
2023-12-08,357803.69
2023-12-09,1017612.6
2023-12-10,496579.81
2023-12-11,1228648.67
2023-12-12,964221.87
2023-12-13,267650.14
2023-12-14,535959.15
2023-12-15,798092.21
2023-12-16,627153.26
2023-12-17,944175.04
2023-12-18,852749.55
2023-12-19,650870.08
2023-12-20,607737.0800000001
2023-12-21,840730.9500000001
2023-12-22,513668.10000000003
2023-12-23,801629.11
2023-12-24,559727.24
2023-12-25,324219.72
